x	y	z
734905.8765	7460328.145	1.1732
734913.0465	7460578.285	1.402
734905.517	7460706.77	1.2912
735438.1555	7460753.303	1.4362
735519.95	7460738.35	1.4026
735382	7460834	1.2328
735476	7460796	1.3286
735356.361	7460768.255	1.2842
735288	7460872	1.0337
735265.504	7460783.67	1.2075
735173.002	7460805.835	1.1162
735182	7460907.5	0.9764
735080.5	7460828	1.0514
734977.7573	7460816.34	1.0786
734778.308	7460073.548	0.9706
734775.3	7459927.9	0.9562
734781.316	7460219.195	1.0559
734798.775	7460495.38	1.5241
734790.0455	7460357.288	1.2988
734875.0145	7460804.68	1.1486
734791.2455	7460623.865	1.4971
734759.7943	7460745.858	1.3855
735076	7460943	0.9535
734960.256	7460922.795	0.9994
734844.512	7460902.59	1.0599
734728.343	7460867.85	1.2294
734669.2275	7460094.45	0.9832
734667	7459957	0.949
734671.455	7460231.9	1.0954
734674.2145	7460386.43	1.4231
734676.974	7460540.96	1.6428
734644.574	7460687.035	1.6104
734612.174	7460833.11	1.4434
734907.5343	7461021.428	0.9558
735018	7461031	0.9367
734797.0685	7461011.855	0.9896
734684.8338	7460985.203	1.1041
734551.9375	7460072.088	0.9876
734553	7459928.5	0.9536
734550.875	7460215.675	1.1127
734547.7443	7460369.2	1.4206
734544.6135	7460522.725	1.6921
734510.5498	7460656.025	1.7401
734572.599	7460958.55	1.2574
734476.486	7460789.325	1.6485
734442.2733	7460918.198	1.4244
734854.8125	7461120.06	0.94
734960	7461119	0.9312
734749.625	7461121.12	0.9507
734641.3245	7461102.555	0.9936
734533.024	7461083.99	1.0591
734408.0605	7461047.07	1.1383
734430.295	7460199.45	1.1417
734434.6475	7460049.725	0.9951
734439	7459900	0.9533
734421.274	7460351.97	1.4321
734412.253	7460504.49	1.714
734376.5255	7460625.015	1.7887
734340.798	7460745.54	1.7363
734311.9475	7460877.845	1.4902
734283.097	7461010.15	1.1745
734793.692	7461216.103	0.9242
734732.5715	7461312.145	0.9135
734890	7461207	0.9235
734820	7461295	0.9177
734697.384	7461225.205	0.9241
734645.143	7461329.29	0.8986
734584.948	7461227.35	0.9106
734528.5715	7461352.145	0.897
734472.512	7461229.495	0.9326
734366.1068	7461170.71	1.0548
734276.004	7460257.395	1.299
734289.827	7460077.648	1.0151
734303.65	7459897.9	0.9549
734266.983	7460409.915	1.6009
734230.644	7460556.793	1.7877
734194.305	7460703.67	1.7642
734166.264	7460844.375	1.5502
734259.7015	7461111.925	1.1513
734138.223	7460985.08	1.2696
734120.423	7461112.398	1.3393
734412	7461375	0.9268
734236.306	7461213.7	1.1848
734324.153	7461294.35	1.0342
734102.623	7461239.715	1.3411
734145.0065	7460105.57	1.0821
734168.3	7459895.8	0.9797
734121.713	7460315.34	1.4886
734084.7625	7460488.57	1.7843
734047.812	7460661.8	1.8059
734020.5805	7460810.905	1.6454
733993.349	7460960.01	1.4757
733981.1445	7461112.87	1.5961
733968.94	7461265.73	1.5287
734211.5658	7461337.183	1.1029
734320.5085	7461434.65	0.9473
734098.9785	7461380.015	1.2019
734229.017	7461494.3	0.9589
734014.4995	7461467.503	1.2069
734140.0085	7461557.65	0.9863
733974.2755	7460146.553	1.2721
734004.15	7459980.9	1.0143
733944.401	7460312.205	1.6401
733921.6543	7460475.425	1.826
733898.9075	7460638.645	1.8345
733875.0855	7460788.8	1.7729
733851.2635	7460938.955	1.7202
733829.5018	7461082.458	1.7664
733888.9905	7461377.355	1.5484
733807.74	7461225.96	1.7348
733739.533	7461334.133	1.7266
733803.5445	7460187.535	1.4242
733840	7460066	1.153
733930.0205	7461554.99	1.2499
734051	7461621	1.033
733809.041	7461488.98	1.5126
733671.326	7461442.305	1.7061
733767.089	7460309.07	1.6684
733758.546	7460462.28	1.7404
733750.003	7460615.49	1.7287
733729.5905	7460766.695	1.7325
733709.178	7460917.9	1.7994
733677.859	7461052.045	1.8407
733533.611	7461395.63	1.7914
733646.54	7461186.19	1.8288
733590.0755	7461290.91	1.8132
733717.5	7460044.5	1.0807
733852.392	7461633.4	1.2842
733963.5	7461685.5	1.105
733741.284	7461581.3	1.4908
733611.2045	7461534.935	1.6768
733681.0445	7460166.035	1.3697
733595	7460023	1.0253
733527.9435	7460184.15	1.3859
733460	7460046	1.0294
733595.887	7460322.3	1.6528
733591.5613	7460468.195	1.5625
733587.2355	7460614.09	1.4976
733574.8525	7460752.415	1.5535
733481.125	7461488.57	1.754
733332.8753	7461436.198	1.7566
733562.4695	7460890.74	1.7463
733526.1553	7461020.145	1.8735
733374.305	7461339.345	1.7905
733489.841	7461149.55	1.8685
733432.073	7461244.448	1.8281
733774.7635	7461711.81	1.2639
733876	7461750	1.0883
733673.527	7461673.62	1.4462
733551.083	7461627.565	1.609
733428.639	7461581.51	1.6804
733291.4455	7461533.05	1.7042
733374.8425	7460202.265	1.3634
733325	7460069	0.9908
733424.685	7460335.53	1.6115
733424.5765	7460474.11	1.4477
733424.468	7460612.69	1.3821
733415.761	7460863.58	1.593
733420.1145	7460738.135	1.4185
733374.4515	7460988.245	1.8264
733154.252	7461484.59	1.6681
733184.6255	7461383.825	1.7308
733214.999	7461283.06	1.769
733333.142	7461112.91	1.8455
733274.0705	7461197.985	1.8127
733723.6113	7461802.685	1.0996
733825.5	7461849	0.9681
733621.7225	7461756.37	1.2991
733506.222	7461713.393	1.4503
733390.7215	7461670.415	1.5479
733261.7333	7461626.435	1.6005
733243.292	7460205.423	1.269
733204.5	7460067.5	0.9803
733132.745	7461582.455	1.5811
732997.4843	7461537.758	1.5207
733282.084	7460343.345	1.5774
733276.0747	7460479.205	1.4448
733270.0655	7460615.065	1.3904
733226.159	7460888.355	1.5355
733248.1123	7460751.71	1.3938
733010.5785	7461433.22	1.6267
733032.908	7461326.068	1.7163
733055.2375	7461218.915	1.8009
733184.8495	7461013.02	1.7656
733120.0435	7461115.968	1.8105
732862.2235	7461493.06	1.4313
733672.459	7461893.56	0.9699
733775	7461948	0.8951
732857.542	7461604.27	1.3116
732984.39	7461642.295	1.4015
733569.918	7461839.12	1.0892
733461.361	7461799.22	1.2292
733352.804	7461759.32	1.3436
733111.238	7461680.32	1.4548
733232.021	7461719.82	1.4282
733111.7415	7460208.58	1.1926
733084	7460066	0.9811
733139.483	7460351.16	1.5229
733127.573	7460484.3	1.4775
732866.905	7461381.85	1.5836
732881.1905	7461268.31	1.7202
733115.663	7460617.44	1.4266
733076.11	7460765.285	1.3941
733036.557	7460913.13	1.5579
732895.476	7461154.77	1.775
732966.0165	7461033.95	1.7507
732731.939	7461462.603	1.2914
732735.6495	7461573.07	1.1751
732707.4368	7461671.308	1.0942
733597.9695	7461957.81	0.9084
733682.5	7462006.5	0.8645
732837.995	7461705.68	1.2128
732962.614	7461735.748	1.272
733513.439	7461909.12	0.9711
733413.1848	7461872.855	1.0615
733312.9305	7461836.59	1.164
733087.233	7461765.815	1.3063
733200.0818	7461801.203	1.2593
732995.463	7460231.235	1.1579
732979.5	7460115	0.9699
733011.426	7460347.47	1.4799
732994.8915	7460477.408	1.5262
732728.2285	7461352.135	1.4425
732720.6338	7461228.745	1.5611
732978.357	7460607.345	1.5028
732926.0858	7460735.713	1.4596
732713.039	7461105.355	1.5581
732873.8145	7460864.08	1.4766
732793.4268	7460984.718	1.5917
732679.224	7461769.545	1.0622
732540	7461732	0.9105
732576.8785	7461636.935	0.9629
732613.757	7461541.87	1.0541
732601.6545	7461432.145	1.1713
732589.552	7461322.42	1.3212
732560.077	7461189.18	1.3855
733523.48	7462022.06	0.8618
733590	7462065	0.8334
732818.448	7461807.09	1.1033
732940.838	7461829.2	1.1424
733456.96	7461979.12	0.9129
733365.0085	7461946.49	0.9628
733063.228	7461851.31	1.1538
733273.057	7461913.86	1.0229
733168.1425	7461882.585	1.1005
732883.369	7460343.78	1.3575
732879.1845	7460253.89	1.1416
732875	7460164	0.9994
732862.21	7460470.515	1.5831
732841.051	7460597.25	1.6088
732776.0615	7460706.14	1.5121
732530.602	7461055.94	1.3654
732711.072	7460815.03	1.432
732620.837	7460935.485	1.4229
732575.6	7461828.95	0.9482
732473.0747	7461620.965	0.926
732458.5	7461706.5	0.8517
732487.6495	7461535.43	1.0144
732470.9348	7461433.283	1.1387
732454.22	7461331.135	1.2532
732414.6935	7461225.015	1.3131
732714.824	7461866.495	1.0062
732611.2	7461925.9	0.9142
732758.7433	7461951.485	0.9506
732678.5	7462008.5	0.8891
733450.4655	7462075.72	0.845
733506.35	7462116.45	0.826
732838.9865	7461894.47	1.0321
732943.927	7461911.575	1.0351
733394.581	7462034.99	0.8793
733315.1288	7462006.528	0.9101
733048.8675	7461928.68	1.0328
733235.6765	7461978.065	0.9389
733142.272	7461953.373	0.9897
732742.591	7460384.855	1.3355
732741.6455	7460263.028	1.0558
732740.7	7460141.2	0.9726
732375.167	7461118.895	1.3264
732236.2232	7461041.335	1.3027
732721.432	7460511.59	1.5925
732655.352	7460631.12	1.5791
732393.8385	7460971.445	1.3375
732589.272	7460750.65	1.4504
732491.5553	7460861.048	1.3787
733377.451	7462129.38	0.831
733422.7	7462167.9	0.8221
732361.542	7461528.99	1.0112
732369.271	7461604.995	0.9309
732377	7461681	0.865
732340.215	7461434.42	1.1476
732078.608	7461111.225	1.2602
732318.888	7461339.85	1.2555
732219.732	7461181.85	1.2941
732269.31	7461260.85	1.2892
732947.016	7461993.95	0.9333
732859.525	7461981.85	0.9331
732802.6625	7462036.475	0.8813
732745.8	7462091.1	0.8459
733332.202	7462090.86	0.8481
733265.249	7462066.565	0.8689
733034.507	7462006.05	0.9305
733198.296	7462042.27	0.8921
733116.4015	7462024.16	0.9121
732604.1065	7460272.165	1.0022
732606.4	7460118.4	0.9699
731937.484	7461040.6	1.2307
732097.2795	7460963.775	1.2642
732601.813	7460425.93	1.3393
732534.6425	7460556.1	1.525
732257.075	7460886.95	1.3143
732467.472	7460686.27	1.4351
732362.2735	7460786.61	1.3503
733314.2505	7462168.215	0.8218
733251.05	7462207.05	0.8214
733367.7	7462189.2	0.8204
733312.7	7462210.5	0.8183
732209.9975	7461502.19	1.0385
732228.7488	7461595.095	0.9348
732247.5	7461688	0.8737
732188.6705	7461407.62	1.1603
732066.241	7461234.12	1.2225
732127.4558	7461320.87	1.2116
731925.117	7461163.495	1.1967
731762.203	7461192.2	1.1701
731599.289	7461220.905	1.0838
732892.9205	7462046.495	0.881
732844.8103	7462093.398	0.8541
732796.7	7462140.3	0.8341
732980.4115	7462058.595	0.879
733009.5058	7462121.723	0.8444
